profile_id,pres,temp,lat,lon,psal,date
5904482_165,68.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,70.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,72.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,74.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,76.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,78.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,80.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,82.22,0.788,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,84.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,86.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,88.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,90.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,92.22,0.782,-59.703,144.455,33.74,2018-06-01T23:53:11.002Z
5904482_165,94.22,0.78,-59.703,144.455,33.74,2018-06-01T23:53:11.002Z
5904482_165,96.22,0.78,-59.703,144.455,33.74,2018-06-01T23:53:11.002Z
5904482_165,98.22,0.779,-59.703,144.455,33.74,2018-06-01T23:53:11.002Z
5904482_165,100.22,0.776,-59.703,144.455,33.741,2018-06-01T23:53:11.002Z
5904482_165,102.22,0.775,-59.703,144.455,33.741,2018-06-01T23:53:11.002Z
5904482_165,104.22,0.771,-59.703,144.455,33.741,2018-06-01T23:53:11.002Z
5904482_165,106.22,0.755,-59.703,144.455,33.744,2018-06-01T23:53:11.002Z
5904482_165,108.22,0.726,-59.703,144.455,33.748,2018-06-01T23:53:11.002Z
5904482_165,110.22,0.653,-59.703,144.455,33.766,2018-06-01T23:53:11.002Z
5904482_165,112.22,0.441,-59.703,144.455,33.828,2018-06-01T23:53:11.002Z
5904482_165,114.22,0.239,-59.703,144.455,33.889,2018-06-01T23:53:11.002Z
5904482_165,116.22,0.133,-59.703,144.455,33.925,2018-06-01T23:53:11.002Z
5904482_165,118.22,0.076,-59.703,144.455,33.946,2018-06-01T23:53:11.002Z
5904482_165,120.22,0.036,-59.703,144.455,33.965,2018-06-01T23:53:11.002Z
5904482_165,122.22,0.027,-59.703,144.455,33.967,2018-06-01T23:53:11.002Z
5904482_165,124.22,0.026,-59.703,144.455,33.968,2018-06-01T23:53:11.002Z
5904482_165,126.22,0.034,-59.703,144.455,33.973,2018-06-01T23:53:11.002Z
5904482_165,128.22,0.041,-59.703,144.455,33.978,2018-06-01T23:53:11.002Z
5904482_165,130.22,0.051,-59.703,144.455,33.982,2018-06-01T23:53:11.002Z
5904482_165,132.22,0.088,-59.703,144.455,33.992,2018-06-01T23:53:11.002Z
5904482_165,134.22,0.124,-59.703,144.455,33.999,2018-06-01T23:53:11.002Z
5904482_165,136.22,0.18,-59.703,144.455,34.007,2018-06-01T23:53:11.002Z
5904482_165,138.22,0.238,-59.703,144.455,34.014,2018-06-01T23:53:11.002Z
5904482_165,140.22,0.307,-59.703,144.455,34.023,2018-06-01T23:53:11.002Z
5904482_165,142.22,0.378,-59.703,144.455,34.031,2018-06-01T23:53:11.002Z
5904482_165,144.22,0.413,-59.703,144.455,34.036,2018-06-01T23:53:11.002Z
5904482_165,146.22,0.476,-59.703,144.455,34.045,2018-06-01T23:53:11.002Z
5904482_165,148.22,0.57,-59.703,144.455,34.056,2018-06-01T23:53:11.002Z
5904482_165,150.22,0.633,-59.703,144.455,34.065,2018-06-01T23:53:11.002Z
5904482_165,152.22,0.704,-59.703,144.455,34.076,2018-06-01T23:53:11.002Z
5904482_165,154.22,0.792,-59.703,144.455,34.089,2018-06-01T23:53:11.002Z
5904482_165,156.22,0.931,-59.703,144.455,34.107,2018-06-01T23:53:11.002Z
5904482_165,158.22,1.045,-59.703,144.455,34.124,2018-06-01T23:53:11.002Z
5904482_165,160.22,1.078,-59.703,144.455,34.13,2018-06-01T23:53:11.002Z
5904482_165,162.22,1.145,-59.703,144.455,34.141,2018-06-01T23:53:11.002Z
5904482_165,164.22,1.261,-59.703,144.455,34.157,2018-06-01T23:53:11.002Z
5904482_165,166.22,1.345,-59.703,144.455,34.169,2018-06-01T23:53:11.002Z
5904482_165,168.22,1.474,-59.703,144.455,34.187,2018-06-01T23:53:11.002Z
5904482_165,170.22,1.563,-59.703,144.455,34.199,2018-06-01T23:53:11.002Z
5904482_165,172.22,1.596,-59.703,144.455,34.203,2018-06-01T23:53:11.002Z
5904482_165,174.22,1.62,-59.703,144.455,34.209,2018-06-01T23:53:11.002Z
5904482_165,176.22,1.713,-59.703,144.455,34.22,2018-06-01T23:53:11.002Z
5904482_165,178.22,1.72,-59.703,144.455,34.222,2018-06-01T23:53:11.002Z
